,Giving,Internet usage,God,Loss of interest,Unpopularity,Writing notes,Self-criticism,Finding lost valuables,Dreams,Workaholism,Energy levels,Parents' advice,Small - big dogs,Interests or hobbies,Lying,Borrowed stuff,Personality,Mood swings,Punctuality,Friends versus money,Decision making,Responding to a serious letter,Judgment calls,Reliability,Socializing,Achievements,Happiness in life,Changing the past,Daily events,New environment,Assertiveness,Elections,Hypochondria,Children,Compassion to animals,Loneliness,Fake,Empathy,Smoking,Alcohol,Healthy eating,Flying,Storm,Darkness,Heights,Spiders,Snakes,Rats,Ageing,Dangerous dogs,Fear of public speaking,Music,Slow songs or fast songs,Dance,Folk,Country,Classical music,Musical,Pop,Rock,Metal or Hardrock,Punk,"Hiphop, Rap","Reggae, Ska","Swing, Jazz",Rock n roll,Alternative,Latino,"Techno, Trance",Opera,History,Psychology,Politics,Mathematics,Physics,Internet,PC,Economy Management,Biology,Chemistry,Reading,Geography,Foreign languages,Medicine,Law,Cars,Art exhibitions,Religion,"Countryside, outdoors",Dancing,Musical instruments,Writing,Passive sport,Active sport,Gardening,Celebrities,Shopping,Science and technology,Theatre,Fun with friends,Adrenaline sports,Pets
0,1.0,2.0,1.0,5.0,3.0,1.0,4.0,1.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,4.0,3.0,5.0,4.0,5.0,3.0,4.0,3.0,5.0,4.0,4.0,5.0,3.0,3.0,1.0,3.0,3.0,2.0,4.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,5.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,4.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,5.0,3.0,5.0,2.0,2.0,4.0,3.0,5.0,5.0,2.0,4.0,5.0,3.0,5.0,2.0,2.0,5.0,2.0,4.0,2.0,4.0,1.0,4.0,1.0,4.0,1.0,2.0,1.0,4.0,3.0,1.0,1.0,3.0,3.0,5.0,5.0,1.0,1.0
1,5.0,2.0,1.0,1.0,5.0,5.0,5.0,2.0,4.0,4.0,3.0,4.0,3.0,5.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,3.0,2.0,4.0,3.0,5.0,4.0,5.0,5.0,1.0,4.0,5.0,2.0,3.0,5.0,3.0,3.0,3.0,5.0,2.0,3.0,2.0,2.0,4.0,1.0,4.0,1.0,1.0,5.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,2.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,1.0,1.0,5.0,3.0,4.0,1.0,1.0,4.0,3.0,5.0,1.0,4.0,2.0,3.0,1.0,3.0,3.0,2.0,1.0,5.0,5.0,1.0,1.0,3.0,2.0,4.0,5.0,4.0,5.0
2,3.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,1.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,2.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,4.0,5.0,4.0,2.0,1.0,2.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,1.0,5.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,2.0,5.0,4.0,5.0,4.0,3.0
3,2.0,2.0,5.0,1.0,5.0,3.0,5.0,1.0,4.0,4.0,5.0,2.0,3.0,5.0,4.0,1.0,5.0,2.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,2.0,5.0,1.0,3.0,4.0,4.0,3.0,1.0,4.0,3.0,1.0,2.0,2.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,5.0,3.0,4.0,1.0,4.0,2.0,3.0,5.0,1.0,2.0,1.0,1.0,5.0,2.0,1.0,2.0,5.0,3.0,5.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,5.0,1.0,2.0,1.0,4.0,3.0,1.0,5.0,4.0,2.0
4,1.0,2.0,1.0,3.0,1.0,4.0,3.0,4.0,4.0,5.0,4.0,1.0,3.0,4.0,4.0,5.0,4.0,4.0,1.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,1.0,3.0,1.0,4.0,1.0,2.0,1.0,4.0,1.0,2.0,4.0,4.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,5.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,1.0,5.0,3.0,4.0,4.0,2.0,2.0,1.0,3.0,4.0,3.0,5.0,3.0,5.0,2.0,2.0,3.0,4.0,5.0,2.0,5.0,3.0,3.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,5.0,5.0,1.0,2.0,2.0,4.0,3.0,5.0,1.0,3.0
5,2.0,3.0,4.0,1.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,1.0,2.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,1.0,4.0,4.0,3.0,4.0,2.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,2.0,5.0,5.0,5.0,1.0,4.0,5.0,5.0,3.0,3.0,1.0,1.0,3.0,3.0,4.0,5.0,3.0,5.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,4.0,1.0,4.0,3.0,5.0,2.0,1.0,5.0,4.0,5.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,4.0,4.0,1.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0
6,1.0,2.0,4.0,5.0,5.0,1.0,5.0,1.0,3.0,2.0,5.0,3.0,5.0,5.0,3.0,5.0,3.0,1.0,2.0,4.0,3.0,3.0,5.0,5.0,1.0,3.0,4.0,2.0,4.0,5.0,5.0,4.0,1.0,1.0,5.0,4.0,4.0,1.0,2.0,3.0,4.0,1.0,4.0,4.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,2.0,1.0,4.0,1.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0,1.0,4.0,1.0,3.0,2.0,1.0,4.0,2.0,5.0,3.0,5.0,1.0,1.0,5.0,3.0,5.0,1.0,1.0,5.0,5.0,1.0,3.0,3.0,1.0,1.0,5.0,3.0,1.0,5.0,5.0,1.0,5.0,5.0,1.0,5.0
7,3.0,3.0,3.0,5.0,1.0,1.0,1.0,2.0,3.0,1.0,4.0,3.0,2.0,3.0,3.0,5.0,3.0,3.0,2.0,5.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,1.0,3.0,3.0,1.0,5.0,3.0,5.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,4.0,3.0,1.0,1.0,2.0,3.0,5.0,3.0,3.0,2.0,1.0,2.0,3.0,5.0,2.0,1.0,1.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,5.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,4.0,1.0,2.0,5.0,1.0,5.0
8,5.0,1.0,5.0,3.0,3.0,4.0,4.0,5.0,3.0,3.0,5.0,3.0,5.0,3.0,2.0,5.0,5.0,2.0,3.0,4.0,3.0,1.0,4.0,4.0,5.0,4.0,4.0,3.0,2.0,4.0,4.0,2.0,2.0,5.0,5.0,4.0,2.0,5.0,4.0,3.0,2.0,1.0,2.0,2.0,2.0,5.0,5.0,4.0,3.0,3.0,4.0,5.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,4.0,2.0,4.0,5.0,5.0,4.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,4.0,3.0,5.0,1.0,1.0,5.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,4.0,1.0,2.0,4.0,2.0,2.0,5.0,4.0,3.0
9,4.0,2.0,3.0,2.0,3.0,5.0,4.0,5.0,3.0,3.0,3.0,4.0,1.0,3.0,3.0,4.0,4.0,3.0,1.0,5.0,3.0,3.0,5.0,3.0,5.0,4.0,4.0,4.0,1.0,4.0,4.0,3.0,1.0,4.0,5.0,3.0,1.0,5.0,2.0,2.0,3.0,1.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,1.0,2.0,5.0,4.0,1.0,1.0,1.0,5.0,4.0,3.0,2.0,1.0,3.0,4.0,5.0,1.0,2.0,1.0,3.0,1.0,4.0,3.0,3.0,4.0,3.0,1.0,1.0,1.0,5.0,3.0,4.0,5.0,5.0,5.0
